"date","people_vaccinated","population","vaccination_percentage","vaccination_status"
"2020-02-07",NULL,"36910558",NULL,"Low"
"2020-02-08",NULL,"36910558",NULL,"Low"
"2020-02-09",NULL,"36910558",NULL,"Low"
"2020-02-10",NULL,"36910558",NULL,"Low"
"2020-02-11",NULL,"36910558",NULL,"Low"
"2020-02-12",NULL,"36910558",NULL,"Low"
"2020-02-13",NULL,"36910558",NULL,"Low"
"2020-02-14",NULL,"36910558",NULL,"Low"
"2020-02-15",NULL,"36910558",NULL,"Low"
"2020-02-16",NULL,"36910558",NULL,"Low"
"2020-02-17",NULL,"36910558",NULL,"Low"
"2020-02-18",NULL,"36910558",NULL,"Low"
"2020-02-19",NULL,"36910558",NULL,"Low"
"2020-02-20",NULL,"36910558",NULL,"Low"
"2020-02-21",NULL,"36910558",NULL,"Low"
"2020-02-22",NULL,"36910558",NULL,"Low"
"2020-02-23",NULL,"36910558",NULL,"Low"
"2020-02-24",NULL,"36910558",NULL,"Low"
"2020-02-25",NULL,"36910558",NULL,"Low"
"2020-02-26",NULL,"36910558",NULL,"Low"
"2020-02-27",NULL,"36910558",NULL,"Low"
"2020-02-28",NULL,"36910558",NULL,"Low"
"2020-02-29",NULL,"36910558",NULL,"Low"
"2020-03-01",NULL,"36910558",NULL,"Low"
"2020-03-02",NULL,"36910558",NULL,"Low"
"2020-03-03",NULL,"36910558",NULL,"Low"
"2020-03-04",NULL,"36910558",NULL,"Low"
"2020-03-05",NULL,"36910558",NULL,"Low"
"2020-03-06",NULL,"36910558",NULL,"Low"
"2020-03-07",NULL,"36910558",NULL,"Low"
"2020-03-08",NULL,"36910558",NULL,"Low"
"2020-03-09",NULL,"36910558",NULL,"Low"
"2020-03-10",NULL,"36910558",NULL,"Low"
"2020-03-11",NULL,"36910558",NULL,"Low"
"2020-03-12",NULL,"36910558",NULL,"Low"
"2020-03-13",NULL,"36910558",NULL,"Low"
"2020-03-14",NULL,"36910558",NULL,"Low"
"2020-03-15",NULL,"36910558",NULL,"Low"
"2020-03-16",NULL,"36910558",NULL,"Low"
"2020-03-17",NULL,"36910558",NULL,"Low"
"2020-03-18",NULL,"36910558",NULL,"Low"
"2020-03-19",NULL,"36910558",NULL,"Low"
"2020-03-20",NULL,"36910558",NULL,"Low"
"2020-03-21",NULL,"36910558",NULL,"Low"
"2020-03-22",NULL,"36910558",NULL,"Low"
"2020-03-23",NULL,"36910558",NULL,"Low"
"2020-03-24",NULL,"36910558",NULL,"Low"
"2020-03-25",NULL,"36910558",NULL,"Low"
"2020-03-26",NULL,"36910558",NULL,"Low"
"2020-03-27",NULL,"36910558",NULL,"Low"
"2020-03-28",NULL,"36910558",NULL,"Low"
"2020-03-29",NULL,"36910558",NULL,"Low"
"2020-03-30",NULL,"36910558",NULL,"Low"
"2020-03-31",NULL,"36910558",NULL,"Low"
"2020-04-01",NULL,"36910558",NULL,"Low"
"2020-04-02",NULL,"36910558",NULL,"Low"
"2020-04-03",NULL,"36910558",NULL,"Low"
"2020-04-04",NULL,"36910558",NULL,"Low"
"2020-04-05",NULL,"36910558",NULL,"Low"
"2020-04-06",NULL,"36910558",NULL,"Low"
"2020-04-07",NULL,"36910558",NULL,"Low"
"2020-04-08",NULL,"36910558",NULL,"Low"
"2020-04-09",NULL,"36910558",NULL,"Low"
"2020-04-10",NULL,"36910558",NULL,"Low"
"2020-04-11",NULL,"36910558",NULL,"Low"
"2020-04-12",NULL,"36910558",NULL,"Low"
"2020-04-13",NULL,"36910558",NULL,"Low"
"2020-04-14",NULL,"36910558",NULL,"Low"
"2020-04-15",NULL,"36910558",NULL,"Low"
"2020-04-16",NULL,"36910558",NULL,"Low"
"2020-04-17",NULL,"36910558",NULL,"Low"
"2020-04-18",NULL,"36910558",NULL,"Low"
"2020-04-19",NULL,"36910558",NULL,"Low"
"2020-04-20",NULL,"36910558",NULL,"Low"
"2020-04-21",NULL,"36910558",NULL,"Low"
"2020-04-22",NULL,"36910558",NULL,"Low"
"2020-04-23",NULL,"36910558",NULL,"Low"
"2020-04-24",NULL,"36910558",NULL,"Low"
"2020-04-25",NULL,"36910558",NULL,"Low"
