"location","date","total_cases","total_deaths","population","total_cases_per_population"
"Morocco","2020-02-07",NULL,NULL,"36910558",NULL
"Morocco","2020-02-08",NULL,NULL,"36910558",NULL
"Morocco","2020-02-09",NULL,NULL,"36910558",NULL
"Morocco","2020-02-10",NULL,NULL,"36910558",NULL
"Morocco","2020-02-11",NULL,NULL,"36910558",NULL
"Morocco","2020-02-12",NULL,NULL,"36910558",NULL
"Morocco","2020-02-13",NULL,NULL,"36910558",NULL
"Morocco","2020-02-14",NULL,NULL,"36910558",NULL
"Morocco","2020-02-15",NULL,NULL,"36910558",NULL
"Morocco","2020-02-16",NULL,NULL,"36910558",NULL
"Morocco","2020-02-17",NULL,NULL,"36910558",NULL
"Morocco","2020-02-18",NULL,NULL,"36910558",NULL
"Morocco","2020-02-19",NULL,NULL,"36910558",NULL
"Morocco","2020-02-20",NULL,NULL,"36910558",NULL
"Morocco","2020-02-21",NULL,NULL,"36910558",NULL
"Morocco","2020-02-22",NULL,NULL,"36910558",NULL
"Morocco","2020-02-23",NULL,NULL,"36910558",NULL
"Morocco","2020-02-24",NULL,NULL,"36910558",NULL
"Morocco","2020-02-25",NULL,NULL,"36910558",NULL
"Morocco","2020-02-26",NULL,NULL,"36910558",NULL
"Morocco","2020-02-27",NULL,NULL,"36910558",NULL
"Morocco","2020-02-28",NULL,NULL,"36910558",NULL
"Morocco","2020-02-29",NULL,NULL,"36910558",NULL
"Morocco","2020-03-01",NULL,NULL,"36910558",NULL
"Morocco","2020-03-02","1",NULL,"36910558","0.000002709251916484166900"
"Morocco","2020-03-03","1",NULL,"36910558","0.000002709251916484166900"
"Morocco","2020-03-04","1",NULL,"36910558","0.000002709251916484166900"
"Morocco","2020-03-05","2",NULL,"36910558","0.000005418503832968333900"
"Morocco","2020-03-06","2",NULL,"36910558","0.000005418503832968333900"
"Morocco","2020-03-07","2",NULL,"36910558","0.000005418503832968333900"
"Morocco","2020-03-08","2",NULL,"36910558","0.000005418503832968333900"
"Morocco","2020-03-09","2",NULL,"36910558","0.000005418503832968333900"
"Morocco","2020-03-10","3","1","36910558","0.000008127755749452500800"
"Morocco","2020-03-11","5","1","36910558","0.000013546259582420834700"
"Morocco","2020-03-12","6","1","36910558","0.000016255511498905001700"
"Morocco","2020-03-13","7","1","36910558","0.000018964763415389168600"
"Morocco","2020-03-14","17","1","36910558","0.000046057282580230838000"
"Morocco","2020-03-15","28","1","36910558","0.000075859053661556674400"
"Morocco","2020-03-16","29","1","36910558","0.000078568305578040841300"
"Morocco","2020-03-17","38","2","36910558","0.000102951572826398343800"
"Morocco","2020-03-18","49","2","36910558","0.000132753343907724180200"
"Morocco","2020-03-19","63","2","36910558","0.000170682870738502517400"
"Morocco","2020-03-20","77","3","36910558","0.000208612397569280854500"
"Morocco","2020-03-21","96","3","36910558","0.000260088183982480026400"
"Morocco","2020-03-22","115","4","36910558","0.000311563970395679198300"
"Morocco","2020-03-23","143","4","36910558","0.000387423024057235872700"
"Morocco","2020-03-24","170","5","36910558","0.000460572825802308380200"
"Morocco","2020-03-25","225","6","36910558","0.000609581681208937562000"
"Morocco","2020-03-26","275","11","36910558","0.000745044277033145909100"
"Morocco","2020-03-27","345","23","36910558","0.000934691911187037595000"
"Morocco","2020-03-28","402","25","36910558","0.001089119270426635110700"
"Morocco","2020-03-29","479","26","36910558","0.001297731667995915965300"
"Morocco","2020-03-30","556","33","36910558","0.001506344065565196819800"
"Morocco","2020-03-31","617","36","36910558","0.001671608432470731003300"
"Morocco","2020-04-01","654","39","36910558","0.001771850753380645180200"
"Morocco","2020-04-02","708","44","36910558","0.001918150356870790195000"
"Morocco","2020-04-03","791","48","36910558","0.002143018265938976051200"
"Morocco","2020-04-04","919","59","36910558","0.002489802511248949419800"
"Morocco","2020-04-05","1021","70","36910558","0.002766146206730334447900"
"Morocco","2020-04-06","1120","80","36910558","0.003034362146462266975200"
"Morocco","2020-04-07","1184","90","36910558","0.003207754269117253659500"
"Morocco","2020-04-08","1275","93","36910558","0.003454296193517312851200"
"Morocco","2020-04-09","1374","97","36910558","0.003722512133249245378500"
"Morocco","2020-04-10","1448","107","36910558","0.003922996775069073732200"
"Morocco","2020-04-11","1545","111","36910558","0.004185794210968037925600"
"Morocco","2020-04-12","1661","118","36910558","0.004500067433280201290900"
"Morocco","2020-04-13","1763","126","36910558","0.004776411128761586319000"
"Morocco","2020-04-14","1888","126","36910558","0.005115067618322107186800"
"Morocco","2020-04-15","2024","127","36910558","0.005483525878963953890900"
"Morocco","2020-04-16","2283","130","36910558","0.006185222125333353128900"
"Morocco","2020-04-17","2564","135","36910558","0.006946521913865404039700"
"Morocco","2020-04-18","2685","137","36910558","0.007274341395759988239700"
"Morocco","2020-04-19","2855","141","36910558","0.007734914221562296619800"
"Morocco","2020-04-20","3046","143","36910558","0.008252381337610772505800"
"Morocco","2020-04-21","3209","145","36910558","0.008693989399997691717400"
"Morocco","2020-04-22","3446","149","36910558","0.009336082104204439282700"
"Morocco","2020-04-23","3568","155","36910558","0.009666610838015507649600"
"Morocco","2020-04-24","3758","158","36910558","0.01018136870214749900"
"Morocco","2020-04-25","3897","159","36910558","0.01055795471853879900"
"Morocco","2020-04-26","4065","161","36910558","0.01101310904050813900"
"Morocco","2020-04-27","4120","162","36910558","0.01116211789591476800"
"Morocco","2020-04-28","4252","165","36910558","0.01151973914889067800"
"Morocco","2020-04-29","4321","168","36910558","0.01170667753112808500"
"Morocco","2020-04-30","4423","170","36910558","0.01198302122660947000"
"Morocco","2020-05-01","4569","171","36910558","0.01237857200641615900"
"Morocco","2020-05-02","4729","173","36910558","0.01281205231305362500"
"Morocco","2020-05-03","4903","174","36910558","0.01328346214652187100"
"Morocco","2020-05-04","5053","179","36910558","0.01368984993399449600"
"Morocco","2020-05-05","5219","181","36910558","0.01413958575213086700"
"Morocco","2020-05-06","5408","183","36910558","0.01465163436434637500"
"Morocco","2020-05-07","5548","183","36910558","0.01503092963265415800"
"Morocco","2020-05-08","5711","186","36910558","0.01547253769504107700"
"Morocco","2020-05-09","5910","186","36910558","0.01601167882642142700"
"Morocco","2020-05-10","6063","188","36910558","0.01642619436964350400"
"Morocco","2020-05-11","6281","188","36910558","0.01701681128743705300"
"Morocco","2020-05-12","6418","188","36910558","0.01738797879999538300"
"Morocco","2020-05-13","6512","188","36910558","0.01764264848014489500"
"Morocco","2020-05-14","6607","190","36910558","0.01790002741221089100"
"Morocco","2020-05-15","6652","190","36910558","0.01802194374845267800"
"Morocco","2020-05-16","6741","192","36910558","0.01826306716901976900"
"Morocco","2020-05-17","6870","192","36910558","0.01861256066624622700"
"Morocco","2020-05-18","6952","192","36910558","0.01883471932339792900"
"Morocco","2020-05-19","7023","193","36910558","0.01902707620946830400"
"Morocco","2020-05-20","7133","194","36910558","0.01932509392028156300"
"Morocco","2020-05-21","7211","196","36910558","0.01953641556976732800"
"Morocco","2020-05-22","7332","197","36910558","0.01986423505166191200"
"Morocco","2020-05-23","7406","198","36910558","0.02006471969348174000"
"Morocco","2020-05-24","7433","199","36910558","0.02013786949522681300"
"Morocco","2020-05-25","7532","200","36910558","0.02040608543495874500"
"Morocco","2020-05-26","7577","202","36910558","0.02052800177120053300"
"Morocco","2020-05-27","7601","202","36910558","0.02059302381719615300"
"Morocco","2020-05-28","7643","202","36910558","0.02070681239768848800"
"Morocco","2020-05-29","7714","202","36910558","0.02089916928375886400"
"Morocco","2020-05-30","7780","204","36910558","0.02107797991024681900"
"Morocco","2020-05-31","7807","205","36910558","0.02115112971199189100"
"Morocco","2020-06-01","7833","205","36910558","0.02122157026182048000"
"Morocco","2020-06-02","7866","206","36910558","0.02131097557506445700"
"Morocco","2020-06-03","7922","206","36910558","0.02146269368238757100"
"Morocco","2020-06-04","8003","208","36910558","0.02168214308762278800"
"Morocco","2020-06-05","8071","208","36910558","0.02186637221794371100"
"Morocco","2020-06-06","8151","208","36910558","0.02208311237126244500"
"Morocco","2020-06-07","8224","208","36910558","0.02228088776116578900"
"Morocco","2020-06-08","8302","208","36910558","0.02249220941065155400"
"Morocco","2020-06-09","8437","210","36910558","0.02285795841937691600"
